code,trading_name,name_vi,ownership,sector,status,fy2024_vnd_bn,fy2025_vnd_bn,change_vnd_bn,in_balanced_panel
VNM,Vinamilk,Công ty Cổ phần Sữa Việt Nam,Private,"Food, beverage & brewing",common,4569.0,3856.0,-713.0,TRUE
HDB,HDBank,Ngân hàng TMCP Phát triển T.P Hồ Chí Minh,Private,Banking,common,6021.0,3744.0,-2277.0,TRUE
CNS,CNS,Tổng Công ty Công nghiệp Sài Gòn - TNHH Một thành viên,SOE,Tobacco,common,3975.0,3691.0,-284.0,TRUE
TLP,Thalexim,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP,Private,"Oil, gas & fuels",common,3426.0,3468.0,42.0,TRUE
GVR,Vietnam Rubber Group,Tập đoàn Công nghiệp Cao su Việt Nam,SOE,"Chemicals, plastics & rubber",common,2750.0,3413.0,663.0,TRUE
BIMGROUP,BIM Group,Công ty Cổ phần Tập đoàn BIM,Private,Power & electrical,common,1444.0,3316.0,1872.0,TRUE
LPB,LPBank,Ngân hàng Thương mại cổ phần Lộc Phát Việt Nam,Private,Banking,common,3359.0,3298.0,-61.0,TRUE
HVN,Vietnam Airlines,Tổng Công ty Hàng không Việt Nam - CTCP,SOE,Aviation,common,3152.0,3291.0,139.0,TRUE
VNEX,Vietnam Exchange,Sở Giao dịch Chứng khoán Việt Nam,SOE,Finance & investment,common,2583.0,3283.0,700.0,TRUE
SHB,SHB,Ngân hàng Thương mại cổ phần Sài Gòn - Hà Nội,Private,Banking,common,2466.0,3249.0,783.0,TRUE
SAWACO,Sawaco,Tổng Công ty Cấp nước Sài Gòn,SOE,Water & utilities,common,3211.0,3179.0,-32.0,TRUE
TAL,Taseco Land,Công ty cổ phần Đầu tư Bất động sản Taseco,Private,Real estate & construction,common,1398.0,3148.0,1750.0,TRUE
APPLE,Apple Việt Nam,Công ty TNHH Apple Việt Nam,FDI,Retail & trade,common,1000.0,3000.0,2000.0,TRUE
MMVN,Mitsubishi Motors,Công ty TNHH ô tô Mitsubishi Việt Nam,FDI,Automotive,entered,,3000.0,,FALSE
SNP,Saigon New Port/SNP,Công ty TNHH MTV - Tổng Công ty Tân Cảng Sài Gòn,SOE,Logistics & transport,common,2672.0,3000.0,328.0,TRUE
CARLSBERG,Carlsberg Việt Nam,Công ty TNHH Bia Carlsberg Việt Nam,FDI,"Food, beverage & brewing",common,3900.0,3000.0,-900.0,TRUE
VATM,VATM,Tổng Công ty Quản lý bay Việt Nam,SOE,Aviation,common,2898.0,2948.0,50.0,TRUE
GEX,Gelex,Công ty Cổ phần Tập đoàn GELEX,Private,Power & electrical,common,2732.0,2892.0,160.0,TRUE
PDR,Phát Đạt,Công ty cổ phần Phát triển Bất động sản Phát Đạt,Private,Real estate & construction,common,1192.0,2890.0,1698.0,TRUE
VCK,VPS Securities,Công ty cổ phần Chứng khoán VPS,Private,Securities,common,2302.0,2848.0,546.0,TRUE
XSLA,Long An Lottery,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT LONG AN,SOE,Lottery,common,2200.0,2797.0,597.0,TRUE
XSBL,Bạc Liêu Lottery,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT BẠC LIÊU,SOE,Lottery,common,2219.0,2751.0,532.0,TRUE
XSBINHDUONG,Bình Dương Lottery,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT BÌNH DƯƠNG,SOE,Lottery,common,2302.0,2749.0,447.0,TRUE
TPB,TPBank,Ngân hàng Thương mại cổ phần Tiên Phong,Private,Banking,common,2314.0,2744.0,430.0,TRUE
XSBENTRE,Bến Tre Lottery,Công ty TNHH MTV Xổ Số Kiến Thiết Bến Tre,SOE,Lottery,common,2438.0,2738.0,300.0,TRUE
VIB,VIB,Ngân hàng Thương mại cổ phần Quốc tế Việt Nam,Private,Banking,common,2618.0,2731.0,113.0,TRUE
XSCM,Cà Mau Lottery,Công ty TNHH MTV Xổ số kiến thiết Cà Mau,SOE,Lottery,common,2414.0,2721.0,307.0,TRUE
XSTN,Tây Ninh Lottery,Công ty TNHH Xổ số kiến thiết tỉnh Tây Ninh,SOE,Lottery,common,2463.0,2718.0,255.0,TRUE
XSDT,Đồng Tháp Lottery,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT TỈNH ĐỒNG THÁP,SOE,Lottery,common,2364.0,2682.0,318.0,TRUE
XSKG,Kiên Giang Lottery,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT KIÊN GIANG,SOE,Lottery,common,2348.0,2680.0,332.0,TRUE
XSTV,Trà Vinh Lottery,Xổ số kiến thiết tỉnh Trà Vinh,SOE,Lottery,common,2565.0,2648.0,83.0,TRUE
XSBINHTHUAN,Bình Thuận Lottery,Công ty TNHH MTV Xổ số kiến thiết Bình Thuận,SOE,Lottery,common,2234.0,2635.0,401.0,TRUE
XSVL,Vĩnh Long Lottery,Công ty TNHH MTV Xổ số kiến thiết Vĩnh Long,SOE,Lottery,common,2216.0,2615.0,399.0,TRUE
SATRA,Satra,Tổng Công ty Thương mại Sài Gòn - TNHH MTV,SOE,Retail & trade,common,8212.0,2602.0,-5610.0,TRUE
XSBRVT,BRVT Lottery,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT TỈNH BÀ RỊA - VŨNG TÀU,SOE,Lottery,common,2216.0,2591.0,375.0,TRUE
XSLD,Lâm Đồng Lottery,Công ty TNHH MTV Xổ số kiến thiết Lâm Đồng,SOE,Lottery,common,2447.0,2579.0,132.0,TRUE
XSAG,An Giang Lottery,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT AN GIANG,SOE,Lottery,common,2290.0,2543.0,253.0,TRUE
XSTG,Tiền Giang Lottery,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT TIỀN GIANG,SOE,Lottery,common,2197.0,2529.0,332.0,TRUE
XSDONGNAI,Đồng Nai Lottery,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT VÀ DỊCH VỤ TỔNG HỢP ĐỒNG NAI,SOE,Lottery,common,2172.0,2460.0,288.0,TRUE
XSCT,Cần Thơ Lottery,CÔNG TY TNHH NHÀ NƯỚC MTV XỔ SỐ KIẾN THIẾT CẦN THƠ,SOE,Lottery,common,2203.0,2452.0,249.0,TRUE
NECORP,Necorp,Tổng Công ty Đông Bắc - BQP,SOE,Coal & mining,common,2427.0,2444.0,17.0,TRUE
JSRE,JS REAL ESTATE,Công ty Cổ phần Bất động sản JS,Private,Real estate & construction,entered,,2400.0,,FALSE
DLPQ,Corona Casino & Resort,Công ty cổ phần Đầu tư Phát triển Du lịch Phú Quốc,Private,Tourism & hospitality,entered,,2333.0,,FALSE
XSST,Sóc Trăng Lottery,Công ty TNHH MTV Xổ số kiến thiết Sóc Trăng,SOE,Lottery,common,2162.0,2321.0,159.0,TRUE
VINACHEM,Vinachem,Tập đoàn Hoá chất Việt Nam,SOE,"Chemicals, plastics & rubber",common,2530.0,2268.0,-262.0,TRUE
VIETLOTT,Vietlott,Công ty TNHH MTV Xổ số điện toán Việt Nam,SOE,Lottery,common,2080.0,2265.0,185.0,TRUE
HUT,TASCO,Công ty Cổ phần Tasco,Private,Automotive,common,978.0,2227.0,1249.0,TRUE
PNJ,PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,Private,Retail & trade,common,2116.0,2128.0,12.0,TRUE
XSHG,Hậu Giang Lottery,Công ty TNHH MTV Xổ số kiến thiết Hậu Giang,SOE,Lottery,common,2005.0,2115.0,110.0,TRUE
MWG,Mobile World Group,Công ty Cổ phần đầu tư Thế giới di động,Private,Retail & trade,common,1297.0,2056.0,759.0,TRUE
HUDX,HUD,Tổng Công ty Đầu tư Phát triển nhà và Đô thị-Công ty TNHH,SOE,Real estate & construction,common,1138.0,1951.0,813.0,TRUE
REE,REE,Công ty Cổ phần Cơ điện lạnh,Private,Power & electrical,common,1447.0,1943.0,496.0,TRUE
XSBP,Bình Phước Lottery,Công ty TNHH MTV Xổ số kiến thiết và dịch vụ tổng hợp Bình Phước,SOE,Lottery,common,1617.0,1910.0,293.0,TRUE
VRE,Vincom Retail,Công ty Cổ phần Vincom Retail,Private,Real estate & construction,common,2371.0,1900.0,-471.0,TRUE
VNZ,VNG Group,Công ty Cổ phần Tập đoàn VNG,Private,Technology & telecom,common,1588.0,1867.0,279.0,TRUE
PDT,Petimex,Công ty TNHH MTV Thương mại Dầu khí Đồng Tháp,SOE,"Oil, gas & fuels",common,2354.0,1819.0,-535.0,TRUE
BVH,BaoViet Holdings,Tập đoàn Bảo Việt,SOE,Insurance,common,1967.0,1817.0,-150.0,TRUE
VJC,Vietjetair,Công ty Cổ phần Hàng không Vietjet,Private,Aviation,common,1150.0,1809.0,659.0,TRUE
SSI,SSI,Công ty cổ phần Chứng khoán SSI,Private,Securities,common,1664.0,1807.0,143.0,TRUE
SSB,Seabank,Ngân hàng Thương mại cổ phần Đông Nam Á,Private,Banking,common,1419.0,1755.0,336.0,TRUE
STARLAKE,Starlake,Công ty TNHH Phát triển THT,FDI,Real estate & construction,entered,,1600.0,,FALSE
MSB,MSB,Ngân hàng Thương mại cổ phần Hàng hải Việt Nam,Private,Banking,common,1784.0,1591.0,-193.0,TRUE
MOBIFONE,Mobifone,Tổng Công ty Viễn thông Mobifone,SOE,Technology & telecom,entered,,1500.0,,FALSE
IDC,IDICO,Tổng công ty IDICO - Công ty Cổ phần,Private,Power & electrical,common,1601.0,1497.0,-104.0,TRUE
PVI,PVI Holdings,Công ty Cổ phần PVI,FDI,Insurance,common,1437.0,1481.0,44.0,TRUE
TADT,Tân Á Đại Thành Investment Group,CTCP Đầu tư Tập đoàn Tân Á Đại Thành,Private,Real estate & construction,entered,,1474.0,,FALSE
SAIGONTOURIST,Saigontourist,Tổng Công ty Du lịch Sài Gòn - TNHH Một thành viên,SOE,Tourism & hospitality,common,1988.0,1439.0,-549.0,TRUE
VVS,VIMID,CTCP Đầu tư Phát triển Máy Việt Nam,Private,Automotive,common,592.0,1428.0,836.0,TRUE
DOFICO,Dofico,Tổng Công ty Công nghiệp Thực phẩm Đồng Nai,SOE,Tobacco,common,1440.0,1402.0,-38.0,TRUE
VSIPNA,VSIP Nghệ An,Công ty TNHH VSIP Nghệ An,FDI,Real estate & construction,common,1261.0,1377.0,116.0,TRUE
EIB,Eximbank,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Private,Banking,common,1050.0,1298.0,248.0,TRUE
DAIICHILIFE,Dai-ichi Life,Công ty TNHH Bảo hiểm Nhân thọ Dai-ichi Việt Nam,FDI,Insurance,common,970.0,1295.0,325.0,TRUE
MANULIFE,Manulife Vietnam,Công ty TNHH Manulife (Việt Nam),FDI,Insurance,common,588.0,1276.0,688.0,TRUE
HSG,Hoa Sen Group,Công ty Cổ phần Tập đoàn Hoa Sen,Private,Steel & building materials,common,1653.0,1230.0,-423.0,TRUE
PC1,PC1 Group,Công ty Cổ phần Tập đoàn PC1,Private,Power & electrical,common,1446.0,1149.0,-297.0,TRUE
DXG,BLUEMARQ GROUP,Công ty Cổ phần BLUEMARQ GROUP,Private,Real estate & construction,common,821.0,1133.0,312.0,TRUE
VICEM,Vicem,Tổng Công ty Công nghiệp Xi măng Việt Nam,SOE,Steel & building materials,common,1038.0,1110.0,72.0,TRUE
MVN,VIMC,Tổng Công ty Hàng hải Việt Nam - CTCP,SOE,Logistics & transport,common,1060.0,1107.0,47.0,TRUE
HOIANA,Hoiana,Công ty TNHH Phát triển Nam Hội An,FDI,Tourism & hospitality,common,650.0,1100.0,450.0,TRUE
NVL,Novaland Group,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,Private,Real estate & construction,common,1145.0,1095.0,-50.0,TRUE
VPI,Văn Phú,Công ty cổ phần Phát triển Bất động sản Văn Phú,Private,Real estate & construction,common,620.0,1093.0,473.0,TRUE
NAB,NamA Bank,Ngân hàng Thương mại cổ phần Nam Á,Private,Banking,common,1294.0,1073.0,-221.0,TRUE
SMB,Bia Sài Gòn - Miền Trung,CTCP Bia Sài Gòn - Miền Trung,Private,"Food, beverage & brewing",common,1206.0,1067.0,-139.0,TRUE
QNS,QNS,Công ty Cổ phần Đường Quảng Ngãi,Private,"Food, beverage & brewing",common,1020.0,1025.0,5.0,TRUE
KLMH,KIM LONG MOTORS,CTCP Kim Long Motor Huế,Private,Automotive,common,800.0,1012.0,212.0,TRUE
OCB,OCB,Ngân hàng Thương mại cổ phần Phương Đông,Private,Banking,common,1183.0,1007.0,-176.0,TRUE
UNILEVER,Unilever Vietnam,Công ty TNHH Quốc tế Unilever Việt Nam,FDI,"Food, beverage & brewing",entered,,1000.0,,FALSE
CPVN,C.P Vietnam Corporation,Công ty cổ phần Chăn nuôi C.P Việt Nam,FDI,Manufacturing & other industry,entered,,1000.0,,FALSE
LSPETRO,Long Sơn Petrochemicals,Công ty TNHH Hoá dầu Long Sơn,FDI,"Chemicals, plastics & rubber",entered,,1000.0,,FALSE
GRAB,GRAB,Công ty TNHH Grab,FDI,Technology & telecom,common,500.0,1000.0,500.0,TRUE
WORLDAUTO,World Auto,Công ty TNHH World Auto,Private,Automotive,common,1000.0,1000.0,0.0,TRUE
MERCEDESVN,Mercedes-Benz VietNam,Công ty TNHH Mercedes-Benz Việt Nam,FDI,Automotive,common,1000.0,1000.0,0.0,TRUE
VND,VNDirect,Công ty cổ phần Chứng khoán VNDirect,Private,Securities,common,942.0,966.0,24.0,TRUE
SAIGONPETRO,Saigon Petro,Công ty TNHH MTV Dầu khí Thành phố Hồ Chí Minh,SOE,"Oil, gas & fuels",common,1070.0,965.0,-105.0,TRUE
PET,Petrosetco,Tổng công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Private,Retail & trade,common,637.0,929.0,292.0,TRUE
TVN,VNSteel,Tổng Công ty Thép Việt Nam - CTCP,SOE,Steel & building materials,common,713.0,927.0,214.0,TRUE
NUTIFOOD,Nutifood,Công ty Cổ phần Thực phẩm dinh dưỡng Nutifood,Private,"Food, beverage & brewing",common,833.0,915.0,82.0,TRUE
