rank,name_vi,trading_name,code,ownership,ownership_basis,sector,sector_vi,budget_payment_vnd_bn,vat_domestic,vat_imports,corporate_income_tax,personal_income_tax,land_and_land_rent
147,TỔNG CÔNG TY BƯU ĐIỆN VIỆT NAM,VNPost,VNPOST,SOE,state postal corp,Logistics & transport,Vận tải - Logistics,789.0,434.0,,117.0,,
148,Công ty Cổ phần Tập đoàn Công nghệ CMC,CMC Group,CMG,Private,CafeF PRIVATE 100 (2026),Technology & telecom,Công nghệ - Viễn thông - Truyền thông,784.0,383.0,,85.0,156.0,
149,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,Becamex IDC,BCM,SOE,CafeF STATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,773.0,320.0,,342.0,,
150,Công ty cổ phần Chứng khoán Vietcap,Vietcap Securities,VCI,Private,CafeF PRIVATE 100 (2026),Securities,Chứng khoán,764.0,,,154.0,608.0,
151,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,FPT Retail,FRT,Private,CafeF PRIVATE 100 (2026),Retail & trade,Bán lẻ,763.0,451.0,,114.0,172.0,
152,Ngân hàng Thương mại cổ phần An Bình,ABBank,ABB,Private,CafeF PRIVATE 100 (2026),Banking,Ngân hàng,763.0,71.0,,540.0,,
153,CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Việt Phát,VPG,Private,"Viet Phat Group, listed",Coal & mining,"Than, Khoáng sản",748.0,37.0,604.0,58.0,,
154,CTCP Bia và nước giải khát Hạ Long,Halobeco,HLB,Private,CafeF PRIVATE 100 (2026),"Food, beverage & brewing",Bia rượu,745.0,107.0,,35.0,,
155,CTCP Stavian Hoá chất,STAVIAN GROUP,STAVIAN,Private,CafeF PRIVATE 100 (2026),"Chemicals, plastics & rubber","Hóa chất, Nhựa",736.0,,,,,
156,HSBC Việt Nam,HSBC Việt Nam,HSBC,FDI,HSBC (UK),Banking,Ngân hàng,694.0,,,694.0,,
157,Công ty cổ phần Tập đoàn Intimex,Intimex Group,INTIMEXG,Private,CafeF PRIVATE 100 (2026),Manufacturing & other industry,Nông nghiệp,692.0,,,,,
158,CTCP Thành Thành Công - Biên Hòa,AgriS,SBT,Private,CafeF PRIVATE 100 (2026),Manufacturing & other industry,Nông nghiệp,690.0,,,126.0,,
159,Công ty cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Hoang Huy Group,TCH,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,670.0,264.0,,207.0,,
160,Công ty Cổ phần Tập đoàn Hà Đô,Hà Đô Group,HDG,Private,CafeF PRIVATE 100 (2026),Power & electrical,"Bất động sản, Điện năng",662.0,243.0,,95.0,,133.0
161,CTCP Chứng khoán Mirae Asset (Việt Nam),MAS,MIRAEASSET,FDI,Mirae Asset (KR),Securities,Chứng khoán,658.0,,,184.0,,
162,Tổng Công ty Sông Đà - Công ty cổ phần,Sông Đà Corp,SJG,SOE,"Song Da Corp, state majority",Real estate & construction,Xây dựng,624.0,182.0,,119.0,,
163,Công ty Cổ phần Đầu tư và Xây dựng số 18,Licogi 18,L18,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,621.0,68.0,,86.0,,410.0
164,Tổng Công ty lưu ký và bù trừ Chứng khoán Việt Nam,VSDC,VSDC,SOE,state securities depository,Finance & investment,Tài chính,602.0,,,122.0,,
165,CTCP Tổng Công ty Tín Nghĩa,Tinnghia Corp,TID,Private,CafeF PRIVATE 100 (2026),Real estate & construction,"Bất động sản, Thương mại",591.0,270.0,,281.0,,
166,Công ty Cổ phần Tập đoàn Gemadept,Gemadept,GMD,Private,CafeF PRIVATE 100 (2026),Logistics & transport,Vận tải - Logistics,564.0,122.0,51.0,244.0,106.0,
167,CTCP Bia Sài Gòn - Bến Tre,Bia Sai Gon - Ben Tre,BSGBT,Private,CafeF PRIVATE 100 (2026),"Food, beverage & brewing",Bia rượu,550.0,,,,,
168,CTCP Tập đoàn Vàng bạc đá quý Doji,DOJI,DOJI,Private,CafeF PRIVATE 100 (2026),Real estate & construction,"Bán lẻ, Bất động sản",545.0,,,,,
169,Tổng Công ty Đầu tư và phát triển Nhà Hà Nội,Handico,HANDICO,SOE,Hanoi PC housing corp,Real estate & construction,Bất động sản - Xây dựng,543.0,,,11.0,,335.0
170,Công ty TNHH Nhà nước MTV Yến sào Khánh Hòa,Yến Sào Khánh Hòa,YSKH,SOE,Khanh Hoa PC 100%,"Food, beverage & brewing",Thực phẩm,535.0,160.0,,100.0,,
171,Công ty Cổ phần Thực phẩm Sữa TH,TH Milk Food,THMF,Private,CafeF PRIVATE 100 (2026),"Food, beverage & brewing",Thực phẩm,529.0,,,,,
172,Tập đoàn KIDO,Kido Group,KDC,Private,CafeF PRIVATE 100 (2026),"Food, beverage & brewing",Thực phẩm,525.0,372.0,,73.0,66.0,
173,Công ty cổ phần Đầu tư F88,F88 Investment,F88,Private,CafeF PRIVATE 100 (2026),Finance & investment,Dịch vụ tài chính,496.0,334.0,,49.0,77.0,
174,Công ty Cổ phần Nhựa Bình Minh,Nhựa Bình Minh,BMP,FDI,Nawaplastic / SCG (TH) ~55%,Steel & building materials,Vật liệu xây dựng,488.0,150.0,,303.0,,
175,Tổng Công ty Licogi - Công ty Cổ phần,Licogi,LIC,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,487.0,98.0,,18.0,,
176,Công ty Cổ phần Nông sản thực phẩm Quảng Ngãi,APFCO,APF,Private,CafeF PRIVATE 100 (2026),Manufacturing & other industry,Nông nghiệp,479.0,458.0,,,,
177,Công ty Cổ phần Tập đoàn Golden Gate,Golden Gate Group,GOLDENGATE,Private,CafeF PRIVATE 100 (2026),"Food, beverage & brewing",Thực phẩm,476.0,390.0,,32.0,38.0,
178,Ngân hàng Thương mại cổ phần Kiên Long,Kienlong Bank,KLB,Private,CafeF PRIVATE 100 (2026),Banking,Ngân hàng,474.0,,,347.0,,
179,Tổng Công ty Cơ khí Giao thông Vận tải Sài Gòn - TNHH MTV,SAMCO,SAMCO,SOE,HCMC state transport engineering corp,Automotive,Ô tô,468.0,,,69.0,,
180,Công ty Cổ phần Tập đoàn PAN,The PAN Group,PAN,Private,CafeF PRIVATE 100 (2026),"Food, beverage & brewing",Thực phẩm,465.0,140.0,,174.0,108.0,
181,CTCP Dịch vụ Biển Tân Cảng,Tân Cảng Offshore Services,TOS,SOE,"Tan Cang Offshore, Saigon Newport (Ministry of Defence) majority",Logistics & transport,Vận tải - Logistics,461.0,217.0,94.0,95.0,,
182,Tổng Công ty Phát triển đường cao tốc Việt Nam,VEC,VECX,SOE,"Vietnam Expressway Corp, state",Real estate & construction,Hạ tầng,461.0,226.0,,199.0,,
183,Công ty TNHH MTV Vàng bạc đá quý Sài Gòn,SJCX,SJCX,SOE,"Saigon Jewelry Company, HCMC state 100%",Retail & trade,Bán lẻ,452.0,78.0,,101.0,,
184,Ngân hàng Thương mại cổ phần Bắc Á,BacA Bank,BAB,Private,CafeF PRIVATE 100 (2026),Banking,Ngân hàng,446.0,,,248.0,,
185,Công ty Cổ phần Phú Tài,Phú Tài,PTB,Private,CafeF PRIVATE 100 (2026),Steel & building materials,Vật liệu xây dựng,440.0,82.0,,90.0,,200.0
186,Công ty cổ phần FECON,Fecon,FCN,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Xây dựng,432.0,,,33.0,,308.0
187,CTCP Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa,BBCC,VLB,Private,CafeF PRIVATE 100 (2026),Steel & building materials,Vật liệu xây dựng,430.0,95.0,,68.0,,
188,Tổng CTCP Xuất nhập khẩu và Xây dựng Việt Nam,Vinaconex,VCG,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,428.0,1213.0,,197.0,,
189,Công ty TNHH MTV Nước sạch Hà Nội,Hawaco,HAWACO,SOE,"Hanoi Water, Hanoi PC 100%",Water & utilities,Cấp thoát nước,425.0,,,67.0,,
190,Công ty Cổ phần Sữa Quốc tế Lof,LOF,IDP,Private,CafeF PRIVATE 100 (2026),"Food, beverage & brewing",Thực phẩm,421.0,306.0,,17.0,72.0,
191,Công ty cổ phần DatViet VAC Group Holdings,DatViet VAC Group Holdings,DVV,Private,CafeF PRIVATE 100 (2026),Technology & telecom,Công nghệ - Viễn thông - Truyền thông,421.0,227.0,,113.0,64.0,
192,Công ty Cổ phần Dược Hậu Giang,DHG Pharma,DHG,FDI,Taisho Pharmaceutical (JP) ~51%,Manufacturing & other industry,Y tế,421.0,152.0,,125.0,53.0,
193,Tổng Công ty Trực thăng Việt Nam - Công ty TNHH,Vietnam Helicopters,VNHELICOPTER,SOE,Ministry of Defence,Aviation,Hàng không,419.0,,,,,
194,Công ty cổ phần Ô tô TMT,TMT Motor,TMT,Private,CafeF PRIVATE 100 (2026),Automotive,Ô tô,418.0,216.0,98.0,,,
195,CTCP Quốc tế Sơn Hà,Sơn Hà,SHI,Private,CafeF PRIVATE 100 (2026),Manufacturing & other industry,Hàng gia dụng,409.0,47.0,288.0,49.0,,
196,Công ty Cổ phần Tập đoàn Thủy sản Minh Phú,Minh Phú,MPC,Private,CafeF PRIVATE 100 (2026),Manufacturing & other industry,Nông nghiệp,402.0,18.0,,23.0,,
197,CTCP – Tổng Công ty Nước – Môi trường Bình Dương,BIWASE,BWE,Private,CafeF PRIVATE 100 (2026),Water & utilities,Cấp thoát nước,397.0,,,109.0,,
198,Công ty Cổ phần Chứng khoán KIS Việt Nam,KIS Việt Nam,KIS,FDI,Korea Investment & Securities (KR),Securities,Chứng khoán,395.0,,,74.0,,
199,Công ty Cổ phần Xây dựng Coteccons,Coteccons,CTD,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Xây dựng,395.0,179.0,,118.0,97.0,
200,Công ty Cổ phần Gỗ An Cường,An Cường Wood,ACG,Private,CafeF PRIVATE 100 (2026),Steel & building materials,Vật liệu xây dựng,385.0,,,148.0,,
