rank,name_vi,trading_name,code,ownership,sector,budget_payment_vnd_bn
160,Công ty cổ phần Chứng khoán Vietcap,Vietcap Securities,VCI,Private,Securities,570.0
161,CTCP Bia Sài Gòn - Vĩnh Long,Savibeco,BSGVL,Private,"Food, beverage & brewing",568.0
162,Công ty Cổ phần Gỗ An Cường,An Cường Wood,ACG,Private,Steel & building materials,547.0
163,CTCP Thành Thành Công - Biên Hòa,AgriS,SBT,Private,"Food, beverage & brewing",542.0
164,Công ty Cổ phần Tập đoàn Sao Mai,Sao Mai Group,ASM,Private,Real estate & construction,537.0
165,Tổng Công ty Phát triển đô thị Kinh Bắc-CTCP,Kinh Bac City,KBC,Private,Real estate & construction,525.0
166,Công ty TNHH Nước giải khát Coca - Cola Việt Nam,Coca-Cola Vietnam,COCACOLA,FDI,Other,500.0
167,Công ty TNHH Grab,GRAB,GRAB,FDI,Technology & telecom,500.0
168,Công ty TNHH Nước giải khát Suntory PepsiCo Việt Nam,Suntory Pepsi,PEPSI,FDI,"Food, beverage & brewing",500.0
169,CÔNG TY TNHH SPX EXPRESS,SPX Express,SPXE,FDI,Other,500.0
170,CTCP Quốc tế Sơn Hà,Sơn Hà,SHI,Private,Manufacturing & other industry,495.0
171,Tổng Công ty lưu ký và bù trừ Chứng khoán Việt Nam,VSDC,VSDC,SOE,Finance & investment,480.0
172,Công ty Cổ phần Tập đoàn Công nghệ CMC,CMC Group,CMG,Private,Technology & telecom,479.0
173,Công ty cổ phần Bamboo Capital,Bamboo Capital Group,BCG,Private,Power & electrical,477.0
174,Công ty Cổ phần Tập đoàn Hà Đô,Hà Đô Group,HDG,Private,Power & electrical,476.0
175,Công ty Cổ phần Tập đoàn Gemadept,Gemadept,GMD,Private,Logistics & ports,443.0
176,Tổng Công ty Công nghiệp In - Bao bì Liksin,Liksin,LIKSIN,SOE,Manufacturing & other industry,443.0
177,Công ty Cổ phần Thực phẩm Sữa TH,TH Milk Food,THMF,Private,"Food, beverage & brewing",441.0
178,Công ty cổ phần Đầu tư F88,F88 Investment,F88,Private,Finance & investment,435.0
179,Ngân hàng Thương mại cổ phần Bắc Á,BacA Bank,BAB,Private,Banking,421.0
180,Tổng Công ty Trực thăng Việt Nam - Công ty TNHH,Vietnam Helicopters,VNHELICOPTER,SOE,Aviation,418.0
181,Tổng Công ty Máy động lực và máy nông nghiệp Việt Nam - CTCP,VEAM,VEA,SOE,Automotive,412.0
182,Công ty Cổ phần Nhựa Bình Minh,Nhựa Bình Minh,BMP,FDI,Steel & building materials,405.0
183,Công ty cổ phần Chứng khoán HD,HD Securities,HDBS,Private,Securities,400.0
184,Công ty TNHH Nhà nước MTV Yến sào Khánh Hòa,Yến Sào Khánh Hòa,YSKH,SOE,"Food, beverage & brewing",388.0
185,CTCP DNP Holding,DNP Holding,DNP,Private,Water & utilities,381.0
186,Công ty Cổ phần Tập đoàn Golden Gate,Golden Gate Group,GOLDENGATE,Private,"Food, beverage & brewing",377.0
187,CTCP Phát triển Sunshine Homes,Sunshine Homes,SSH,Private,Real estate & construction,376.0
188,CTCP Bia Sài Gòn - Phú Thọ,Bia Sài Gòn - Phú Thọ,BSP,Private,"Food, beverage & brewing",374.0
189,CTCP Tập đoàn Đèo Cả,Đèo Cả Group,DEOCA,Private,Real estate & construction,370.0
190,CTCP đầu tư hạ tầng kỹ thuật TP. Hồ Chí Minh,CII,CII,Private,Real estate & construction,368.0
191,CTCP Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa,BBCC,VLB,Private,Steel & building materials,363.0
192,Công ty Cổ phần Vĩnh Hoàn,Vĩnh Hoàn,VHC,Private,"Food, beverage & brewing",362.0
193,Tổng CTCP Bảo hiểm Petrolimex,PG Insurance,PGI,Private,Insurance,359.0
194,Công ty TNHH Bảo hiểm Nhân thọ Cathay Việt Nam,Cathay Life,CATHAYLIFE,FDI,Insurance,353.0
195,Công ty Cổ phần Tập đoàn Đầu tư Thăng Long,Thăng Long Invest,TIG,Private,Finance & investment,353.0
196,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông,Rạng Đông,RAL,Private,Manufacturing & other industry,352.0
197,Công ty Cổ phần Nông sản thực phẩm Quảng Ngãi,APFCO,APF,Private,Manufacturing & other industry,347.0
198,Công ty Cổ phần Tập đoàn Thiên Long,Thiên Long,TLG,Private,Manufacturing & other industry,345.0
199,Công ty cổ phần Chứng khoán Tiên Phong,TPS,ORS,Private,Securities,343.0
200,CTCP Bia - Nước giải khát Sài Gòn - Tây Đô,TDBeco,STD,Private,"Food, beverage & brewing",337.0
